user,index_months,year,month,date,weekday,date_formatting,stream_url,length_minute,watchtime_hrs,avg_viewers,peak_viewers,new_followers,followers_hourly,views,views_hourly,Cattegory,co_stream,event
jingburger,14,2022,2,9,3,2/9/2022,https://sullygnome.com/channel/jingburger/stream/45464036573,275,1076350,3914,5443,261,54,31484,6628,Just Chatting,,0
jingburger,14,2022,2,8,2,2/8/2022,https://sullygnome.com/channel/jingburger/stream/45452197421,652,2528456,3878,7670,827,73,75754,6733,Just Chatting,,0
jingburger,14,2022,2,6,7,2/6/2022,https://sullygnome.com/channel/jingburger/stream/45430110765,564,2949156,5229,8026,880,90,64617,6627,Just Chatting,,0
jingburger,14,2022,2,2,3,2/2/2022,https://sullygnome.com/channel/jingburger/stream/45378665869,285,742425,2605,5382,514,102,62006,12401,Just Chatting,,0
jingburger,14,2022,2,2,3,2/2/2022,https://sullygnome.com/channel/jingburger/stream/45378428685,18,41778,2321,4064,57,114,8689,17378,Just Chatting,,0
jingburger,14,2022,2,1,2,2/1/2022,https://sullygnome.com/channel/jingburger/stream/45367119869,542,2228162,4111,7389,857,92,67819,7331,Just Chatting,,0
jingburger,13,2022,1,29,6,1/29/2022,https://sullygnome.com/channel/jingburger/stream/45332072349,475,1741825,3667,5671,490,59,47640,5774,Just Chatting,,0
jingburger,13,2022,1,28,5,1/28/2022,https://sullygnome.com/channel/jingburger/stream/45317998157,408,2317440,5680,9285,784,112,60746,8678,Just Chatting,,0
jingburger,13,2022,1,26,3,1/26/2022,https://sullygnome.com/channel/jingburger/stream/45294531517,210,1110270,5287,7070,304,81,17233,4595,Just Chatting,,0
jingburger,13,2022,1,26,3,1/26/2022,https://sullygnome.com/channel/jingburger/stream/45292143229,76,378708,4983,8674,175,116,13202,8801,Just Chatting,,0
jingburger,13,2022,1,24,1,1/24/2022,https://sullygnome.com/channel/jingburger/stream/45269153517,285,1561515,5479,7192,613,122,39403,7880,Just Chatting,,0
jingburger,13,2022,1,22,6,1/22/2022,https://sullygnome.com/channel/jingburger/stream/45242370797,317,949098,2994,4811,560,101,50775,9231,Just Chatting,,0
jingburger,13,2022,1,21,5,1/21/2022,https://sullygnome.com/channel/jingburger/stream/45230319533,620,1569840,2532,3993,825,78,40418,3849,Just Chatting,,0
jingburger,13,2022,1,18,2,1/18/2022,https://sullygnome.com/channel/jingburger/stream/45193880077,228,570456,2502,3331,449,112,23883,5970,Just Chatting,,0
jingburger,13,2022,1,17,1,1/17/2022,https://sullygnome.com/channel/jingburger/stream/45181407517,567,3276693,5779,11530,1419,145,70835,7265,Just Chatting,,0
jingburger,13,2022,1,13,4,1/13/2022,https://sullygnome.com/channel/jingburger/stream/45129707613,621,2629314,4234,10245,1062,101,61585,5865,Just Chatting,,0
jingburger,13,2022,1,11,2,1/11/2022,https://sullygnome.com/channel/jingburger/stream/45105655853,587,2175422,3706,5600,1244,124,70313,7031,Just Chatting,,0
